,responce,question
23195,"@122512 We know this can be frustrating, Paul. Please meet us in DMs with your record locator, or ticket number.",@AmericanAir paid to upgrade my seat but having to juggle things for the whole flight is free...how's about a refund? https://t.co/hpwxsXd9H3
23197,"@122513 Our apologies for the late start, we have an updated departure time of 7:35a. Thanks for your patience.",@AmericanAir how does flight 3719 that was suppose to depart at 640am still cannot locate the captain?
23199,@122513 The departure has been updated to 7:45a. We'll get you headed out soon.,"@AmericanAir Thanks for the update but there is no way we are departing in 7 minutes, haven't boarded yet."
23201,@122513 We're boarding now and we'll have you wheels up shortly!,"@AmericanAir It's 745. Still haven't taken off. 
Who can I discuss this with in greater detail?"
23203,@122514 Good morning! We can't wait to have you on board. Have a greAAt flight.,"Up early headed to the airport for Dallas, TX then Little Rock, AR! #clientvisit #ArchFlys @AmericanAir"
23645,@119245 Our #AATeam is amazing. We're so glad they took excellent care of you this weekend.,"El vuelo a San Juan sigue en pie y está a tiempo. 🤞🏻🙏🏻 Ya en el gate, contando los minutos para abordar. @AmericanAir #2028 https://t.co/IoO1KTTEtq"
24080,"@122749 We see you're all board now, Scott. We'll have wheels up very soon.","@AmericanAir flight 1695 dfw to Philly. Bad form this morning. Missing pilot, rude platinum desk service agent. Plane/deplane."
24082,@122750 We love making your entire experience the best and we're sad to hear you feel otherwise.,@AmericanAir After 1 year T 4 is NOT WORTH THE WAIT 4 the club. Baby club opens at 5. 10+ min walk to T5. Not worth the membership! So Sad https://t.co/NdUtQY5LRo
24084,@122751 Our apologies things aren't going as seamless as we planned. We'll have you where you need to be as quickly as we can.,"Flight got delayed. Plane issues, got us new plane. But downgraded. No more TV. Thanks @AmericanAir 👎 #SadFace"
24361,"@119245 We'll make sure to take care of your things. When you land, we'll have it waiting for you.",Por otro lado no esperaba un equipo tan grande para viajar a SJU pero imagino que es para llenarlo de regreso. #4H @AmericanAir #2018 https://t.co/kC730M3GAt
24363,"@122820 We're glad we could help, have a great day!",I love @AmericanAir they understand the value of engaging online and fixing issues in real-time! Thank you! https://t.co/RpYmBec1Nc
24365,"@122821 If a flight's expected to be full, we'll ask for volunteers, otherwise those in the final groups may have to check them.",@AmericanAir  https://t.co/PaAh8HyeSd
24369,@122821 What's going on that has you feeling this way?,It’s crazy how much worse every airline is than @SouthwestAir - looking at you @AmericanAir https://t.co/pMWPcwkHrL
24371,"@122822 We're sorry for the late start this morning. We're showing everyone has boarded, and we'll have wheels up soon.",@AmericanAir plane delayed because pilot missed wake up call. Tried customer service and flight attendant - no help from either #aadvantage
24373,"@122822 It's going to be a really tight connection, unless we're able to make up time in the air. You're backed up also on flight 1501 at 12:49p.","@AmericanAir Yes, the pilot being the last one. Can you make sure I make my connecting flight so I don't miss my friend's wedding? Cool, cool cool cool.."
24375,@122822 Our Maintenance team will do their best to have you on your way as quickly as possible.,@AmericanAir &amp; now we're returning to the gate due to instrument malfunction...
24381,@122823 We had a ball and we're glad our team was in full spirits!,@AmericanAir staff were in the Halloween spirit yesterday.  Awesome job! https://t.co/ocL4esKj8Y
24383,@122820 We've responded. Check your DMs.,@AmericanAir Ok just sent
24385,"@122820 It's still listed on your AAdvantage account. Is it not showing up on your reservation? If not, DM the number and your date of birth.",@AmericanAir my TSA Pre info disappeared from my account. Any idea why?
24959,"@122975 We want you to be comfy on board, have you checked out our Main Cabin Extra seats? Take a look, https://t.co/N9kHMrvr7b.",Sardines would be claustrophobic in these seats @AmericanAir
25402,@123103 We're sorry we weren't able to keep your original seat. Please check with our crew for any other available options.,@AmericanAir checked in to main cabin x. Equip change and now last row. All people should move back in order. Delta Shuttle in my future.
25778,@123219 Delays are frustrating we know. We're showing an updated departure time of 8:10a. We'll have wheels up as soon as we can.,@AmericanAir Flight 2336 Pilot was 45 minutes late and now there is maintenance issue and we have a connecting flight in MIA ...#help
25780,"@123219 We'll be on our way as quickly as we can. If you send us a DM with your record locator, we'll take a closer look with you.",@AmericanAir Yes... but we got to our connection flight but then this flight #1479 is also delayed because of a broken window #unbelievable
25782,@123219 We see your DM and will reply to there.,@AmericanAir Sent you the DM with the record locator
25784,"@123220 When a complimentary upgrade is being used, each elite customer will be upgraded based off their own status.",.@AmericanAir can you teach GAs that upg 1 person on a PNR splits them and they lose chances for upg ahead of checkin? Another screw up.
25787,@123221 We're showing it left 25 min after it's original departure time. Please see an agent for rebooking options.,@AmericanAir Flight AA1145 left 10 mins before actual departure time? I missed the flight and got shitty treatment from the boarding staff?
26520,@122822 We're sorry for any wrong info given. We've already confirmed you on that flight. Please see an agent for your boarding pass.,@AmericanAir tried that - no help available #aadvantage https://t.co/cKiJcjfo5h
26524,"@123412 We're showing an updated departure time of 9:15a, we'll have wheels up just as quickly as we can.","@AmericanAir AA 0851, DCA to CLT...I would suggest looking into an upgrade for my return this evening on AA 1750"
26530,"@123413 We're so glad you've been reunited with your bag, Stephanie. Our #AATeam can sure work some mAAgic.",@AmericanAir Linda in Albany baggage service is a life saver. Don’t know why it was up there but bag has been found thanks to her!!
26532,@123413 We'll do our best to locate your bags and contact you with an update as quickly as possible!,@AmericanAir Trust me — it is much cheaper for you to find this bag than reimburse me for contents.
26534,@123413 We'll update your claim via this link: https://t.co/Lts67cwTlN,@AmericanAir I entrusted you with my baggage and you have lost it and given me no recourse. I expect this bag located. Valuable personal effects inside.
26536,"@123413 Please file a claim with our Baggage Service Office, Stephanie. We'd like to get you reunited ASAP.",@AmericanAir tks for diverting 5401 to #IAD then telling me my gate checked bag would be offloaded at #DCA. It has completely disappeared 😡.
26538,"@123414 We don't want you to feel this way, how can we help?",@AmericanAir is working on being worst airline available. Y'all make trips harder for parents and your employees at DIA are beyond the worst
26541,"@123414 That's not acceptable in any way, Alex. We expect our team to be friendly and respectful with our customers. Our apologies for any rudeness.",@AmericanAir I understand your employees are probably miserable but disrespecting a mother n child is nonsense.
26544,@123415 We're not able to adjust the airport list from here. An agent will be able to add you once you arrive.,What gives @americanair? EXP can see upgrade request on app but not on list at airport. AA phone rep can “only apologize”. Disappointing.
26546,"@123416 We don't want to miss your connection, please DM your record locator if you need assistance rebooking.",@AmericanAir is effectively making my 36 hour trip moot. Missing connecting flight. Likely missing next flight out after that. Booooooooo.
26549,@123416 We're trying to help and get you on the next earliest available flight. Please allow us to take a look and DM your record locator.,@AmericanAir You're trying to rebook me for an 8:30pm flight when I was originally supposed to fly out at 11:15am?! Oh @AmericanAir you're funny.
26551,"@123417 Bags need to be 50lbs or less, and under 62 linear inches. Anything heavier or larger will incur a oversize bag charge.",@AmericanAir overcharged my luggage and now there’s no water on this 6hr flight and it’s delayed? Not a good look on flight 292. 😟
